protocol,scenario,method_family,hyperparameter_value,average_accuracy,online_gamma
split,Task-IL,None,1.0,0.8889999999999999,
split,Domain-IL,None,1.0,0.638,
split,Class-IL,None,1.0,0.099,
permuted,Task-IL,None,1.0,0.5273333333333333,
permuted,Domain-IL,None,1.0,0.7060000000000001,
permuted,Class-IL,None,1.0,0.07533333333333334,
split,Task-IL,EWC,1.0,0.914,
split,Task-IL,Online EWC,1.0,0.914,1.0
split,Task-IL,Online EWC,1.0,0.914,0.8
split,Task-IL,Online EWC,1.0,0.914,0.6
split,Task-IL,EWC,10.0,0.914,
split,Task-IL,Online EWC,10.0,0.914,1.0
split,Task-IL,Online EWC,10.0,0.914,0.8
split,Task-IL,Online EWC,10.0,0.914,0.6
split,Task-IL,EWC,1000.0,0.9339999999999999,
split,Task-IL,Online EWC,1000.0,0.9239999999999998,1.0
split,Task-IL,Online EWC,1000.0,0.9239999999999998,0.8
split,Task-IL,Online EWC,1000.0,0.9239999999999998,0.6
split,Task-IL,EWC,100000.0,0.958,
split,Task-IL,Online EWC,100000.0,0.9560000000000001,1.0
split,Task-IL,Online EWC,100000.0,0.9560000000000001,0.8
split,Task-IL,Online EWC,100000.0,0.9560000000000001,0.6
split,Task-IL,SI,0.01,0.8889999999999999,
split,Task-IL,SI,0.1,0.8889999999999999,
split,Task-IL,SI,10.0,0.8879999999999999,
split,Task-IL,SI,1000.0,0.9460000000000001,
split,Task-IL,XdG,0.0,0.8889999999999999,
split,Task-IL,XdG,20.0,0.9490000000000001,
split,Task-IL,XdG,40.0,0.9039999999999999,
split,Task-IL,XdG,60.0,0.966,
split,Task-IL,XdG,80.0,0.9720000000000001,
split,Domain-IL,EWC,1.0,0.641,
split,Domain-IL,Online EWC,1.0,0.641,1.0
split,Domain-IL,Online EWC,1.0,0.641,0.8
split,Domain-IL,Online EWC,1.0,0.641,0.6
split,Domain-IL,EWC,10.0,0.641,
split,Domain-IL,Online EWC,10.0,0.641,1.0
split,Domain-IL,Online EWC,10.0,0.641,0.8
split,Domain-IL,Online EWC,10.0,0.641,0.6
split,Domain-IL,EWC,1000.0,0.624,
split,Domain-IL,Online EWC,1000.0,0.629,1.0
split,Domain-IL,Online EWC,1000.0,0.629,0.8
split,Domain-IL,Online EWC,1000.0,0.629,0.6
split,Domain-IL,EWC,100000.0,0.733,
split,Domain-IL,Online EWC,100000.0,0.7140000000000001,1.0
split,Domain-IL,Online EWC,100000.0,0.6799999999999999,0.8
split,Domain-IL,Online EWC,100000.0,0.663,0.6
split,Domain-IL,SI,0.01,0.638,
split,Domain-IL,SI,0.1,0.638,
split,Domain-IL,SI,10.0,0.641,
split,Domain-IL,SI,1000.0,0.7510000000000001,
split,Class-IL,EWC,1.0,0.11000000000000001,
split,Class-IL,Online EWC,1.0,0.11000000000000001,1.0
split,Class-IL,Online EWC,1.0,0.11000000000000001,0.8
split,Class-IL,Online EWC,1.0,0.11000000000000001,0.6
split,Class-IL,EWC,10.0,0.122,
split,Class-IL,Online EWC,10.0,0.11800000000000002,1.0
split,Class-IL,Online EWC,10.0,0.11800000000000002,0.8
split,Class-IL,Online EWC,10.0,0.11800000000000002,0.6
split,Class-IL,EWC,1000.0,0.141,
split,Class-IL,Online EWC,1000.0,0.13799999999999998,1.0
split,Class-IL,Online EWC,1000.0,0.13599999999999998,0.8
split,Class-IL,Online EWC,1000.0,0.137,0.6
split,Class-IL,EWC,100000.0,0.20199999999999996,
split,Class-IL,Online EWC,100000.0,0.186,1.0
split,Class-IL,Online EWC,100000.0,0.192,0.8
split,Class-IL,Online EWC,100000.0,0.197,0.6
split,Class-IL,SI,0.01,0.099,
split,Class-IL,SI,0.1,0.099,
split,Class-IL,SI,10.0,0.10700000000000001,
split,Class-IL,SI,1000.0,0.30599999999999994,
permuted,Task-IL,EWC,1.0,0.556,
permuted,Task-IL,Online EWC,1.0,0.556,1.0
permuted,Task-IL,Online EWC,1.0,0.556,0.8
permuted,Task-IL,Online EWC,1.0,0.556,0.6
