protocol,scenario,plot_group,method,memory_budget,average_accuracy
split,Task-IL,other_methods,None baseline,,0.8889999999999999
split,Domain-IL,other_methods,None baseline,,0.638
split,Class-IL,other_methods,None baseline,,0.099
permuted,Task-IL,other_methods,None baseline,,0.5273333333333333
permuted,Domain-IL,other_methods,None baseline,,0.7060000000000001
permuted,Class-IL,other_methods,None baseline,,0.07533333333333334
split,Task-IL,memory_budget,Replay,20.0,0.9560000000000001
split,Task-IL,memory_budget,NCM,20.0,0.915
split,Task-IL,memory_budget,Replay+NCM,20.0,0.907
split,Task-IL,memory_budget,iCaRL-lite,20.0,0.907
split,Task-IL,memory_budget,Replay,100.0,0.9729999999999999
split,Task-IL,memory_budget,NCM,100.0,0.953
split,Task-IL,memory_budget,Replay+NCM,100.0,0.966
split,Task-IL,memory_budget,iCaRL-lite,100.0,0.966
split,Task-IL,memory_budget,Replay,500.0,0.9790000000000001
split,Task-IL,memory_budget,NCM,500.0,0.951
split,Task-IL,memory_budget,Replay+NCM,500.0,0.954
split,Task-IL,memory_budget,iCaRL-lite,500.0,0.954
split,Task-IL,memory_budget,Replay,2000.0,0.976
split,Task-IL,memory_budget,NCM,2000.0,0.952
split,Task-IL,memory_budget,Replay+NCM,2000.0,0.9560000000000001
split,Task-IL,memory_budget,iCaRL-lite,2000.0,0.9560000000000001
split,Domain-IL,memory_budget,Replay,20.0,0.754
split,Domain-IL,memory_budget,NCM,20.0,0.7819999999999999
split,Domain-IL,memory_budget,Replay+NCM,20.0,0.787
split,Domain-IL,memory_budget,iCaRL-lite,20.0,0.787
split,Domain-IL,memory_budget,Replay,100.0,0.8089999999999999
split,Domain-IL,memory_budget,NCM,100.0,0.8059999999999998
split,Domain-IL,memory_budget,Replay+NCM,100.0,0.807
split,Domain-IL,memory_budget,iCaRL-lite,100.0,0.807
split,Domain-IL,memory_budget,Replay,500.0,0.8140000000000001
split,Domain-IL,memory_budget,NCM,500.0,0.805
split,Domain-IL,memory_budget,Replay+NCM,500.0,0.821
split,Domain-IL,memory_budget,iCaRL-lite,500.0,0.821
split,Domain-IL,memory_budget,Replay,2000.0,0.8240000000000001
split,Domain-IL,memory_budget,NCM,2000.0,0.8019999999999999
split,Domain-IL,memory_budget,Replay+NCM,2000.0,0.834
split,Domain-IL,memory_budget,iCaRL-lite,2000.0,0.834
split,Class-IL,memory_budget,Replay,20.0,0.292
split,Class-IL,memory_budget,NCM,20.0,0.344
split,Class-IL,memory_budget,Replay+NCM,20.0,0.29700000000000004
split,Class-IL,memory_budget,iCaRL-lite,20.0,0.29700000000000004
split,Class-IL,memory_budget,Replay,100.0,0.359
split,Class-IL,memory_budget,NCM,100.0,0.3429999999999999
split,Class-IL,memory_budget,Replay+NCM,100.0,0.495
split,Class-IL,memory_budget,iCaRL-lite,100.0,0.495
split,Class-IL,memory_budget,Replay,500.0,0.39699999999999996
split,Class-IL,memory_budget,NCM,500.0,0.39999999999999997
split,Class-IL,memory_budget,Replay+NCM,500.0,0.5189999999999999
split,Class-IL,memory_budget,iCaRL-lite,500.0,0.5189999999999999
split,Class-IL,memory_budget,Replay,2000.0,0.368
split,Class-IL,memory_budget,NCM,2000.0,0.396
split,Class-IL,memory_budget,Replay+NCM,2000.0,0.529
split,Class-IL,memory_budget,iCaRL-lite,2000.0,0.529
permuted,Task-IL,memory_budget,Replay,100.0,0.7433333333333334
permuted,Task-IL,memory_budget,NCM,100.0,0.6293333333333333
permuted,Task-IL,memory_budget,Replay+NCM,100.0,0.6766666666666666
permuted,Task-IL,memory_budget,iCaRL-lite,100.0,0.6766666666666666
permuted,Task-IL,memory_budget,Replay,500.0,0.7959999999999999
permuted,Task-IL,memory_budget,NCM,500.0,0.726
permuted,Task-IL,memory_budget,Replay+NCM,500.0,0.7566666666666666
permuted,Task-IL,memory_budget,iCaRL-lite,500.0,0.7566666666666666
permuted,Task-IL,memory_budget,Replay,2000.0,0.794
permuted,Task-IL,memory_budget,NCM,2000.0,0.744
permuted,Task-IL,memory_budget,Replay+NCM,2000.0,0.7893333333333333
permuted,Task-IL,memory_budget,iCaRL-lite,2000.0,0.7893333333333333
permuted,Task-IL,memory_budget,Replay,5000.0,0.8033333333333333
permuted,Task-IL,memory_budget,NCM,5000.0,0.7453333333333334
permuted,Task-IL,memory_budget,Replay+NCM,5000.0,0.7806666666666666
permuted,Task-IL,memory_budget,iCaRL-lite,5000.0,0.7806666666666666
permuted,Domain-IL,memory_budget,Replay,100.0,0.7613333333333333
permuted,Domain-IL,memory_budget,NCM,100.0,0.6746666666666667
permuted,Domain-IL,memory_budget,Replay+NCM,100.0,0.73
permuted,Domain-IL,memory_budget,iCaRL-lite,100.0,0.73
permuted,Domain-IL,memory_budget,Replay,500.0,0.8133333333333332
permuted,Domain-IL,memory_budget,NCM,500.0,0.6966666666666667
permuted,Domain-IL,memory_budget,Replay+NCM,500.0,0.7819999999999999
permuted,Domain-IL,memory_budget,iCaRL-lite,500.0,0.7819999999999999
permuted,Domain-IL,memory_budget,Replay,2000.0,0.8200000000000001
permuted,Domain-IL,memory_budget,NCM,2000.0,0.6933333333333334
permuted,Domain-IL,memory_budget,Replay+NCM,2000.0,0.7893333333333333
permuted,Domain-IL,memory_budget,iCaRL-lite,2000.0,0.7893333333333333
permuted,Domain-IL,memory_budget,Replay,5000.0,0.834
permuted,Domain-IL,memory_budget,NCM,5000.0,0.6886666666666665
permuted,Domain-IL,memory_budget,Replay+NCM,5000.0,0.7966666666666666
permuted,Domain-IL,memory_budget,iCaRL-lite,5000.0,0.7966666666666666
permuted,Class-IL,memory_budget,Replay,100.0,0.3993333333333334
